1,121,-68,9.00
1,122,-73,9.00
1,123,-62,9.50
1,124,-60,8.75
1,125,-63,9.25
1,126,-61,9.50
1,127,-59,9.00
1,128,-67,9.25
1,129,-53,8.50
1,130,-53,9.00
1,131,-64,9.50
1,132,-59,8.75
1,133,-59,9.25
1,134,-68,9.25
1,135,-61,8.75
1,136,-66,8.75
1,137,-72,8.50
1,138,-73,8.75
1,139,-73,9.25
1,140,-68,9.75
1,141,-73,9.25
1,141,-73,9.25
1,142,-65,9.25
1,143,-69,9.25
1,144,-79,9.75
1,145,-69,8.75
1,146,-69,9.00
1,147,-71,8.50
1,148,-61,8.50
1,149,-62,8.75
1,150,-66,10.00
1,151,-64,9.50
1,152,-65,9.50
1,153,-69,9.50
1,154,-66,9.50
1,155,-66,10.00
1,156,-65,9.25
1,157,-65,9.50
1,158,-63,8.50
1,159,-65,9.75
1,160,-65,9.75
1,161,-66,9.25
1,161,-66,9.25
1,162,-62,8.75
2,2000,-49,9.50
2,2000,-49,9.50
1,163,-66,9.50
2,2001,-51,9.75
2,2002,-52,9.25
2,2003,-50,9.75
2,2004,-51,9.75
2,2005,-51,9.25
1,164,-64,9.25
2,2006,-50,9.75
2,2007,-51,9.50
2,2008,-51,9.50
2,2009,-51,9.25
2,2010,-52,9.50
1,165,-64,9.25
2,2011,-52,9.25
2,2012,-51,9.50
2,2013,-52,9.25
2,2014,-53,9.25
2,2015,-52,9.25
1,166,-64,9.50
2,2016,-52,9.50
2,2017,-52,9.25
2,2018,-54,9.75
2,2019,-54,9.75
1,167,-69,9.25
2,2020,-54,9.00
2,2021,-54,9.50
2,2022,-53,9.00
2,2023,-54,9.25
2,2024,-49,9.00
1,168,-64,9.25
2,2025,-51,9.50
2,2026,-51,10.00
2,2027,-49,9.25
2,2027,-49,9.25
2,2028,-49,9.25
2,2029,-48,9.00
1,169,-64,9.25
2,2030,-48,9.25
2,2031,-49,9.50
2,2032,-51,9.25
2,2032,-51,9.25
2,2033,-53,9.25
2,2034,-55,9.25
1,170,-65,9.75
2,2035,-56,9.25
2,2036,-58,9.25
2,2037,-55,9.50
2,2038,-53,8.75
2,2039,-58,9.00
1,171,-55,9.50
2,2040,-62,9.25
2,2041,-53,9.50
2,2042,-63,9.25
2,2043,-63,9.25
2,2044,-56,9.75
1,172,-66,9.25
2,2045,-63,9.25
2,2046,-79,9.50
2,2047,-61,9.25
2,2048,-59,9.50
2,2049,-51,5.00
2,2050,-56,9.75
2,2051,-55,9.50
2,2052,-54,9.50
2,2053,-55,9.00
1,174,-58,9.75
1,174,-58,9.75
2,2054,-54,9.50
2,2055,-55,9.00
2,2056,-57,9.75
2,2057,-57,9.50
2,2058,-55,10.00
1,175,-64,10.25
2,2059,-56,9.50
2,2060,-56,9.25
2,2061,-57,9.50
2,2062,-58,9.00
2,2063,-53,9.00
1,176,-66,9.75
2,2064,-58,9.25
2,2065,-60,9.25
1,177,-70,9.00
2,2000,-61,9.25
1,178,-85,9.75
2,2001,-58,9.25
2,2001,-58,9.25
1,179,-78,9.25
2,2002,-56,9.50
1,180,-60,9.50
2,2003,-52,9.50
1,181,-86,8.25
2,2004,-58,9.00
1,182,-61,8.75
2,2005,-53,8.75
1,183,-70,9.25
2,2006,-54,9.25
2,2006,-54,9.25
2,2007,-49,9.50
1,0,-70,8.50
2,2008,-53,9.00
1,1,-71,8.50
2,2009,-52,9.50
1,2,-70,8.50
2,2010,-51,9.25
1,3,-78,8.25
2,2011,-49,9.50
1,4,-78,8.75
2,2012,-63,9.00
1,5,-81,8.75
2,2013,-50,9.00
1,6,-74,8.50
2,2014,-49,9.50
1,7,-75,8.75
1,7,-75,8.75
2,2015,-48,9.00
1,8,-73,8.25
2,2016,-53,9.00
1,9,-76,8.50
2,2017,-46,9.50
1,10,-64,9.25
2,2018,-46,9.50
1,11,-69,9.00
2,2019,-48,9.25
1,12,-68,8.50
2,2020,-49,9.25
1,13,-71,9.25
2,2021,-46,9.00
1,14,-67,9.25
2,2022,-52,9.50
1,15,-77,9.50
2,2023,-51,9.25
1,16,-75,9.25
2,2024,-49,9.50
1,17,-73,8.75
2,2025,-48,9.00
1,18,-63,8.75
2,2026,-49,9.25
1,19,-64,9.25
2,2027,-51,9.50
1,20,-65,9.00
1,20,-65,9.00
2,2028,-49,9.00
1,21,-69,9.25
2,2029,-50,9.25
1,22,-65,9.00
2,2030,-51,9.75
1,23,-65,9.00
2,2031,-49,9.00
1,24,-63,8.75
2,2032,-54,9.00
1,25,-67,9.50
2,2033,-54,8.75
1,26,-66,9.25
2,2034,-51,9.50
1,27,-64,9.00
2,2035,-47,9.00
1,28,-69,9.25
2,2036,-56,9.50
1,29,-68,9.00
2,2037,-54,9.25
1,30,-69,9.00
2,2038,-58,9.25
1,31,-72,9.50
2,2039,-62,9.25
1,32,-71,9.00
2,2040,-56,9.50
1,33,-69,9.25
2,2041,-62,9.00
1,34,-73,8.75
2,2042,-67,9.25
1,35,-83,9.00
2,2043,-65,9.25
1,36,-78,8.50
2,2044,-67,11.50
1,37,-75,9.00
2,2045,-69,9.25
1,38,-96,9.00
2,2046,-64,9.25
1,39,-72,9.25
2,2047,-60,10.00
1,40,-75,9.00
2,2048,-60,11.50
1,41,-71,9.25
2,2049,-62,8.75
1,42,-70,8.75
2,2050,-64,9.50
1,43,-70,9.25
